PMID,NCTID,CombnID,Drug_Name,MTD_Value,MTD_Unit,Frequency,Schedule,Comments
11550166,NA,110,amifostine,600,mg/m2,2,on Days 1-3,RP2D
11550166,NA,110,ifosfamide,3000,mg/m2,1,on Days 1 and 2,RP2D
11550166,NA,110,carboplatin,635,mg/m2,1,on Day 3,RP2D
11550166,NA,110,carboplatin,635,mg/m2,1,on Day 3,RP2D
11550166,NA,110,etoposide,150,mg/m2,1,on Days 1 and 2,RP2D
11955654,NA,113,gemcitabine,0,mg/m2,1,on day 1 of every 21 days cycle,MTD not reached
11955654,NA,113,carboplatin,0,AUC,1,on day 1 of every 21 days cycle,MTD not reached
11955654,NA,113,carboplatin,0,AUC,1,on day 1 of every 21 days cycle,MTD not reached
11710627,NA,114,lobradimil,600,ng/kg IBW,1,"on days 1-3 of the first cycle, and days 1 and 2 of each subsequent cycle",RP2D
11710627,NA,114,carboplatin,2.5,AUC,1,on days 2 and 3 every 28 days,RP2D
11710627,NA,114,carboplatin,2.5,AUC,1,on days 2 and 3 every 28 days,RP2D
12702526,NA,118,ifosfamide,1500,mg/m2,1,on days 1 and 2 every 21 days,RP2D
12702526,NA,118,paclitaxel,200,mg/m2,1,on day 1 every 21 days,RP2D
12702526,NA,118,carboplatin,5,AUC,1,on day 2 every 21 days,RP2D
12702526,NA,118,carboplatin,5,AUC,1,on day 2 every 21 days,RP2D
10654007,NA,129,ifosfamide,9000,mg/m2,1,on day 1 every week,ED cases
10654007,NA,129,etoposide,100,mg/m2,1,"on days 1, 2 and 3 every week",ED cases
10654007,NA,129,carboplatin,400,mg/m2,1,on day 1 every week,ED cases
10654007,NA,129,carboplatin,400,mg/m2,1,on day 1 every week,ED cases
10654007,NA,130,ifosfamide,5000,mg/m2,1,on day 1 every week,RP2D for LD cases
10654007,NA,130,etoposide,100,mg/m2,1,"on days 1, 2 and 3 every week",RP2D for LD cases
10654007,NA,130,carboplatin,400,mg/m2,1,on day 1 every week,RP2D for LD cases
10654007,NA,130,carboplatin,400,mg/m2,1,on day 1 every week,RP2D for LD cases
10654007,NA,130,radiation,1.5,Gy,2,daily for the initial 3 weeks to a total dose of 45 Gy,RP2D for LD cases
11036956,NA,141,paclitaxel,225,mg/m2,1,every 3 weeks,RD
11036956,NA,141,carboplatin,325,mg/m2,1,every 3 weeks,RD
11036956,NA,141,carboplatin,325,mg/m2,1,every 3 weeks,RD
8201386,NA,144,ifosfamide,5000,mg/m2,1,continuous infusion over 48 hours on days 1-2 every 21 days,MTD not obtained
8201386,NA,144,carboplatin,400,mg/m2,1,on day 1 every 21 days,MTD not obtained
8201386,NA,144,carboplatin,400,mg/m2,1,on day 1 every 21 days,MTD not obtained
8201386,NA,144,mesna,6000,mg/m2,NA,continuous infusion over 60 hours on days 1-3 every 21 days,MTD not obtained
8201386,NA,144,granulocyte-macrophage colony-stimulating factor,5,ug/kg,1,from day 4 until neutrophil recovery,MTD not obtained
7790322,NA,150,etoposide,40,mg/m2,1,daily,for heavily pretreated patients
7790322,NA,150,carboplatin,350,mg/m2,1,on day 1 every 21 days,for heavily pretreated patients
7790322,NA,150,carboplatin,350,mg/m2,1,on day 1 every 21 days,for heavily pretreated patients
9020283,NA,157,carboplatin,125,mg/m2,1,NA,no MTD not achieved
9020283,NA,157,carboplatin,125,mg/m2,1,NA,no MTD not achieved
10071285,NA,159,gemcitabine,1100,mg/m2,1,on day 1 of the 28-day cycle,RP2D
10071285,NA,159,carboplatin,5,AUC,1,on day 8 of the 28-day cycle,RP2D
10071285,NA,159,carboplatin,5,AUC,1,on day 8 of the 28-day cycle,RP2D
8398708,NA,164,carboplatin,300,mg/m2,1,every 4 weeks,low risk patients
8398708,NA,164,carboplatin,300,mg/m2,1,every 4 weeks,low risk patients
8398708,NA,164,etoposide,350,mg/m2,1,every 4 weeks,low risk patients
8398708,NA,164,carboplatin,200,mg/m2,1,every 4 weeks,high risk patients
8398708,NA,164,carboplatin,200,mg/m2,1,every 4 weeks,high risk patients
8398708,NA,164,etoposide,50,mg/m2,1,every 4 weeks,high risk patients
32590047,NCT02442531,167,cpc634,60,mg/m2,1,every three weeks (Q3W),RP2D
8281628,NA,183,doxorubicin,60,mg/m2,1,every 28 days.,"addition of GM-CSF did not allow further
escalation due to DLT"
8281628,NA,183,carboplatin,400,mg/m2,1,every 28 days.,"addition of GM-CSF did not allow further
escalation due to DLT"
8281628,NA,183,carboplatin,400,mg/m2,1,every 28 days.,"addition of GM-CSF did not allow further
escalation due to DLT"
8281628,NA,183,gm-csf,10,ug/kg,1,days 1-21 in a 28-day cycle,"addition of GM-CSF did not allow further
escalation due to DLT"
8281628,NA,183,gm-csf,10,ug/kg,1,days 1-21 in a 28-day cycle,"addition of GM-CSF did not allow further
escalation due to DLT"
8422699,NA,186,ci-973,230,mg/m2,1,every 28 days,the poor-risk subgroup
8422699,NA,186,ci-973,290,mg/m2,1,every 28 days,the good-risk group
21152384,NA,187,decitabine,10,mg/m2,1,on days 1 to 5 every 28 days,sequence schedule
21152384,NA,187,vorinostat,200,mg,3,on days 6 to 12 every 28 days,sequence schedule
21152384,NA,187,decitabine,10,mg/m2,1,on days 1 to 5 every 28 days,cocurrence schedule
21152384,NA,187,vorinostat,200,mg,2,on days 3 to 9 every 28 days,cocurrence schedule
32600929,NCT00916123,192,docetaxel,75,mg/m2,1,"every 21 days for 3 cycles, Cycle 4 was administered a minimum of 6 weeks following cycle 3, up to a maximum of 9 weeks later without being deemed dose limiting",MTD not reached
29463550,NCT01546038,197,cytarabine,20,mg,2,on days 1 to 10 of each 28-day cycle,MTD was not reached
29463550,NCT01546038,198,decitabine,20,mg/m2,1,the first 5 days of each 28-day cycle,MTD was not reached
29463550,NCT01546038,199,glasdegib,100,mg,1,once daily in 28-day cycles,RP2D
29463550,NCT01546038,199,cytarabine,100,mg/m2,1,on days 1–7 in 28-day cycle,RP2D
29463550,NCT01546038,199,daunorubicin,60,mg/m2,1,on days 1–3 in 28-day cycle,RP2D
19251309,NA,203,docetaxel,40,mg/m2,1,weekly by standard infusion for 4–6 cycles given during radiotherapy,RP2D
19251309,NA,203,radiotherapy,85,Gy,NA,total dose,RP2D
19704337,NA,211,gti-2040,5,mg/kg,1,"administered as a continuous intravenous infusion (CVI) for 14 days starting on day 1 of each cycle, followed by a 7-day break",RP2D
19704337,NA,211,gti-2040,5,mg/kg,1,"administered as a continuous intravenous infusion (CVI) for 14 days starting on day 1 of each cycle, followed by a 7-day break",RP2D
19704337,NA,211,docetaxel,75,mg/m2,1,on day 3 of 21 days,RP2D
19066894,NA,212,oxaliplatin,130,mg/m2,1,on day 1 every 3 weeks,RP2D
19066894,NA,212,oxaliplatin,130,mg/m2,1,on day 1 every 3 weeks,RP2D
19066894,NA,212,docetaxel,75,mg/m2,1,on day 1 every 3 weeks,RP2D
18000498,NA,213,pertuzumab,840,mg,1,loading dose,RP2D
18000498,NA,213,pertuzumab,420,mg,1,every 3 weeks from cycle 2,RP2D
18000498,NA,213,docetaxel,75,mg/m2,1,every 3 weeks,RP2D
17826308,NA,214,nedaplatin,90,mg/m2,1,on day one,RP2D
17826308,NA,214,docetaxel,60,mg/m2,1,on day one,RP2D
18758179,NA,217,epirubicin,60,mg/m2,1,on day 1 every 3 weeks,RP2D to patients without prior chemotherapy
18758179,NA,217,docetaxel,60,mg/m2,1,on day 1 every 3 weeks,RP2D to patients without prior chemotherapy
18758179,NA,217,epirubicin,50,mg/m2,1,on day 1 every 3 weeks,RP2D to patients with prior chemotherapy
18758179,NA,217,docetaxel,50,mg/m2,1,on day 1 every 3 weeks,RP2D to patients with prior chemotherapy
17695429,NA,231,docetaxel,20,mg/m2,1,"on day 1, 8 and 15 every 5 weeks",RD
17695429,NA,231,s-1,80,mg/m2,1,"on days 1-21, every 5 weeks",RD
18626572,NA,240,docetaxel,35,mg/m2,1,"on days 1, 8, and 15 in 4 week cycles",RP2D
18626572,NA,240,temozolomide,100,mg/m2,1,days 1–21 in 4 week cycles,RP2D
18626572,NA,240,temozolomide,100,mg/m2,1,days 1–21 in 4 week cycles,RP2D
19740565,C000000281,242,docetaxel,60,mg/m2,1,on day 1 every 3 weeks,RP2D
19740565,C000000281,242,s-1,40,mg/m2,2,on days 1–14 and repeated every 3 weeks,RP2D
20043166,NA,245,sunitinib,25,mg,1,daily for 4 consecutive weeks of once-daily treatment followed by 2 weeks off treatment (Schedule 4/2) in three repeated 6-week cycles,Schedule 4/2
20043166,NA,245,docetaxel,60,mg/m2,1,q21d,Schedule 4/2
20043166,NA,245,sunitinib,37.5,mg,1,daily for 2 consecutive weeks of once-daily treatment followed by 1-week off treatment (Schedule 2/1) in six repeated 3-week cycles,Schedule 2/1
20043166,NA,245,docetaxel,75,mg/m2,1,q21d,Schedule 2/1
17569044,NA,246,vinorelbine,20,mg/m2,1,on day 1 every 3 weeks,RD
17569044,NA,246,vinorelbine,60,mg/m2,1,on day 15  every 3 weeks,RD
17569044,NA,246,docetaxel,60,mg/m2,1,on day 1 every 3 weeks,RD
16683205,NA,247,gem231,220,mg/m2,1,"on days 4, 8, 11, 15, and 18 every 3 weeks",schedule A
16683205,NA,247,docetaxel,50,mg/m2,1,on day 1,schedule A
16683205,NA,247,gem231,220,mg/m2,1,on days 15 and 18 every 3 weeks,RPT2D for schedule B
16683205,NA,247,docetaxel,75,mg/m2,1,on day 1,RPT2D for schedule B
15277270,NA,250,g3139,0,mg/kg,1,continuous infusion for 21 days (days 1–22) every 28 days,MTD not reached for Part I
15277270,NA,250,docetaxel,35,mg/m2,1,"on days 8, 15 and 22 every 28 days",MTD not reached for Part I
15277270,NA,250,g3139,0,mg/kg,1,"continuous infusion on days 1-5, 12, 13, 19, and 20 every 28 days",MTD not reached for Part II
15277270,NA,250,docetaxel,35,mg/m2,1,"on days 6, 12, 14, 19, 21 and 28 every 28 days",MTD not reached for Part II
15509491,NA,258,docetaxel,60,mg/m2,1,on day 1 every 28 days,RP2D
15509491,NA,258,nedaplatin,100,mg/m2,1,on day 1 every 28 days,RP2D
16379039,NA,260,docetaxel,35,mg,1,weekly for 6 weeks followed by a two-week rest period,RD
16379039,NA,260,exisulind,250,mg,2,daily,RD
16809732,NA,269,docetaxel,75,mg/m2,1,six weekly instillations,RP2D
16416334,NA,275,docetaxel,25,mg/m2,1,"day 1, 8, 15, 29, 36, and 43 every 4 weeks",SS
16416334,NA,275,cisplatin,25,mg/m2,1,"day 1, 8, 15, 29, 36, and 43 every 4 weeks",SS
16416334,NA,275,cisplatin,25,mg/m2,1,"day 1, 8, 15, 29, 36, and 43 every 4 weeks",SS
16416334,NA,275,thoracic radiotherapy,2,Gy,1,30 doses from day 1 to 43,SS
16416334,NA,275,docetaxel,20,mg/m2,1,"on days 1, 8, 15, 22, 29, 36",CS
16416334,NA,275,cisplatin,25,mg/m2,1,"on days 1, 8, 15, 22, 29, 36",CS
16416334,NA,275,cisplatin,25,mg/m2,1,"on days 1, 8, 15, 22, 29, 36",CS
16416334,NA,275,thoracic radiotherapy,2,Gy,1,30 doses from day 1 to 43,CS
15838660,NA,277,docetaxel,60,mg/m2,1,on day 1 every 21 days,RP2D
15838660,NA,277,topotecan,0.85,mg/m2,1,on days 1-3 every 21 days,RP2D
15838660,NA,277,topotecan,0.85,mg/m2,1,on days 1-3 every 21 days,RP2D
14520528,NA,293,docetaxel,35,mg/m2,1,on days 1 and 15 every 4 weeks,RP2D
14520528,NA,293,irinotecan,0,mg/m2,1,on days 1 and 15 every 4 weeks,RP2D
14508124,NA,296,radiotherapy,40,Gy,NA,"in 20 fractions of 2 Gy per fractions, 5 days/week, over 4 weeks",MTD not reached
11583191,NA,297,docetaxel,60,mg/m2,1,on day 1 every 3 weeks,Step 1
11583191,NA,297,epirubicin,70,mg/m2,1,on day 1 every 3 weeks,Step 1
11583191,NA,297,docetaxel,80,mg/m2,1,on day 1 every 3 weeks,Step 2
11583191,NA,297,epirubicin,75,mg/m2,1,on day 1 every 3 weeks,Step 2
11583191,NA,297,docetaxel,90,mg/m2,1,on day 1 every 3 weeks,RP2D for Step 3
11583191,NA,297,epirubicin,90,mg/m2,1,on day 1 every 3 weeks,RP2D for Step 3
11583191,NA,297,g-csf,5,ug/kg,1,"starting 48 hours after completion of chemotherapy, until there was evidence of hematological recovery, i.e., ANC> 2000/ul after the nadir.",RP2D for Step 3
11583191,NA,297,g-csf,5,ug/kg,1,"starting 48 hours after completion of chemotherapy, until there was evidence of hematological recovery, i.e., ANC> 2000/ul after the nadir.",RP2D for Step 3
12665678,NA,299,docetaxel,145,mg/m2,1,on d 1 of each 21-d cycle,RP2D
12665678,NA,299,g-csf,5,ug/kg,1,on d 3–10 every 21 days,RP2D
12665678,NA,299,g-csf,5,ug/kg,1,on d 3–10 every 21 days,RP2D
12419756,NA,300,epirubicin,90,mg/m2,1,every 21 days,RD with G-CSF support
12419756,NA,300,cyclophosphamide,600,mg/m2,1,every 21 days,RD with G-CSF support
12419756,NA,300,docetaxel,85,mg/m2,1,every 21 days,RD with G-CSF support
12879480,NA,302,pegylated liposomal doxorubicin,20,mg/m2,1,on Days 1 and 15 of the 28-day cycle,Arm A
12879480,NA,302,docetaxel,40,mg/m2,1,on Days 1 and 15 of the 28-day cycle,Arm A
12879480,NA,302,pegylated liposomal doxorubicin,20,mg/m2,1,on Days 1 and 15 of the 28-day cycle,Arm B
12879480,NA,302,docetaxel,35,mg/m2,1,on Days 1 and 15 of the 28-day cycle,Arm B
11521794,NA,303,docetaxel,75,mg/m2,1,on day 1 every 21 days,MTD 1
11521794,NA,303,vinorelbine,22.5,mg/m2,1,on days 1 and 5 every 21 days,MTD 1
11521794,NA,303,docetaxel,100,mg/m2,1,on day 1 every 21 days,MTD 2
11521794,NA,303,vinorelbine,20,mg/m2,1,on days 1 and 5 every 21 days,MTD 2
12373597,NA,306,docetaxel,75,mg/m2,1,on day 1 every 3 weeks,fixed
12373597,NA,306,ifosfamide,2750,mg/m2,1,a 24-h continuous infusion on days 1-3 every 3 weeks,with G-CSF
11852999,NA,307,g-csf,5,mg/kg,1,on days 3–10 every three weeks,the protocol was closed to accrual before a MTD was reached
11852999,NA,307,g-csf,5,mg/kg,1,on days 3–10 every three weeks,the protocol was closed to accrual before a MTD was reached
11777624,NA,309,cisplatin,20,mg/m2,1,"Days 1, 8, 15, 22, 29, 36",RP2D
11777624,NA,309,cisplatin,20,mg/m2,1,"Days 1, 8, 15, 22, 29, 36",RP2D
11777624,NA,309,docetaxel,20,mg/m2,1,"Days 1, 8, 15, 22, 29, 36",RP2D
11777624,NA,309,thoracic rt,1.8,Gy,1,the total dose 63 Gy during 6 weeks,RP2D
11557122,NA,315,cisplatin,80,mg/m2,1,day 1 every 28 days,RP2D
11557122,NA,315,cisplatin,80,mg/m2,1,day 1 every 28 days,RP2D
11557122,NA,315,docetaxel,25,mg/m2,1,"days 1, 8, 15 every 28 days",RP2D
24585045,NA,2,irinotecan,80,mg/m2,1,on days 1 and 15 every 28 days,RP2D
24585045,NA,2,pegylated liposomal doxorubicin,30,mg/m2,1,on day 3 every 28 days,RP2D
25958319,NA,3,cisplatin,50,mg/m2,1,"q 21 day 1, during cycles 3-6",IV
25958319,NA,3,cisplatin,50,mg/m2,1,"q 21 day 1, during cycles 3-6",IV
25058346,NA,12,nintedanib,150,mg,2,daily from day 1 during the 12 courses of weekly paclitaxel,RP2D
25058346,NA,12,paclitaxel,80,mg/m2,1,weekly for 12 weeks,fixed
25058346,NA,12,adriamycin,60,mg/m2,1,on day 99 every 21 days for 4 cycles,fixed
25058346,NA,12,cyclophosphamide,600,mg/m2,1,on day 99 every 21 days for 4 cycles,fixed
22752217,NA,13,epirubicin,50,mg/m2,1,on day 1 every 21 days,fixed
22752217,NA,13,oxaliplatin,130,mg/m2,1,on day 1 every 21 days,fixed
22752217,NA,13,oxaliplatin,130,mg/m2,1,on day 1 every 21 days,fixed
22752217,NA,13,s-1,40,mg/m2,2,on days 1–14 every 21 days,RD
16880787,NA,26,liposomal daunorubicin,150,mg/m2,1,on day 1 of a 21 day cycle,Arm A without G-CSF
16880787,NA,26,liposomal daunorubicin,100,mg/m2,1,on day 1 of a 21 day cycle,Arm B without G-CSF
17852117,NA,33,5-fluorouracil,200,mg/m2,1,28 days every 4 weeks,fixed
17852117,NA,33,epirubicin,30,mg/m2,1,on Day 1 and 14 every 4 weeks,fixed
17852117,NA,33,cisplatin,30,mg/m2,1,on Day 1 and 14 every 4 weeks,RP2D
17852117,NA,33,cisplatin,30,mg/m2,1,on Day 1 and 14 every 4 weeks,RP2D
17852117,NA,33,gemcitabine,800,mg/m2,1,on Day 1 and 14 every 4 weeks,RP2D
17045160,NA,35,gemcitabine,1500,mg/m2,1,on days 1 and 8 of 21-day cycles,RP2D
17045160,NA,35,epirubicin,90,mg/m2,1,on day 1 of 21-day cycles,RP2D
17095524,NA,39,pegylated liposomal doxorubicin,50,mg/m2,1,on day 1 of each 28-day cycle,RP2D
18927308,NA,44,trabectedin,1.1,mg/m2,1,on day 1 of a 3-week cycle,with G-CSF
18927308,NA,44,doxorubicin,60,mg/m2,1,on day 1 of a 3-week cycle,with G-CSF
15942626,NA,48,pegylated liposomal doxorubicin,25,mg/m2,1,on day 1 of the first 14-day cycle,RP2D
15942626,NA,48,pegylated liposomal doxorubicin,24,mg/m2,1,on day 1 of the subsequent cycles,RP2D
15942626,NA,48,valspodar,1.42 mg kg-1 h-1 infusion over 2 h and then reduced to 0.42 mg kg h-1 (10 mg kg d-1 ) for an additional 70 h,mg/kg,1,72 h continuous intravenous infusion with PEG-LD in subsequent 14-day cycles,RP2D
18502128,NA,53,gemcitabine,1200,mg/m2,1,on days 1 and 8 of a 21-day cycle,RP2D
18502128,NA,53,pegylated liposomal doxorubicin,35,mg/m2,1,on day 1 of a 21-day cycle,RP2D
18525299,NA,55,irinotecan,100,mg/m2,1,on day 1  for 21-day cycles,for previously chemotherapy-treated patients
18525299,NA,55,epirubicin,50,mg/m2,1,on day 1  for 21-day cycles,for previously chemotherapy-treated patients
18525299,NA,55,irinotecan,150,mg/m2,1,on day 1  for 21-day cycles,for chemonaive patients
18525299,NA,55,epirubicin,50,mg/m2,1,on day 1  for 21-day cycles,for chemonaive patients
10573115,NA,74,cisplatin,30,mg/m2,1,weekly,MTD was not reached
10573115,NA,74,cisplatin,30,mg/m2,1,weekly,MTD was not reached
11106111,NA,75,vincristine,1.4,mg/m2,1,day 1 every 3 weeks,fixed
11106111,NA,76,vincristine,1.4,mg/m2,1,day 1 every 3 weeks,fixed
11106111,NA,76,prednisolone,100,mg,1,days 1-5 every 3 weeks,fixed
11106111,NA,76,prophylactic rhug-csf,2,ug/kg,1,from day 3 until day 15 every 3 weeks,fixed
9150898,NA,81,5-fluorouracil,350,mg,1,on days 1–3 every 21 days,fixed
9150898,NA,81,leucovorin,300,mg,1,on days 1–3 every 21 days,fixed
9150898,NA,81,filgrastim,5,ug/kg,1,on days 4–13 every 21 days,fixed
9150898,NA,81,filgrastim,5,ug/kg,1,on days 4–13 every 21 days,fixed
10370782,NA,83,paclitaxel,150,mg/m2,1,over 24 hours followed by doxorubicin every 3 weeks,Doxorubicin/48 hrs -> paclitaxel
10370782,NA,83,doxorubicin,60,mg/m2,1,over 48 hours every 3 weeks,Doxorubicin/48 hrs -> paclitaxel
10370782,NA,83,paclitaxel,125,mg/m2,1,over 24 hours every 3 weeks,Paclitaxel -> doxorubicin/48 hrs
10370782,NA,83,doxorubicin,48,mg/m2,1,over 48 hours followed by paclitaxel every 3 weeks,Paclitaxel -> doxorubicin/48 hrs
10370782,NA,83,paclitaxel,135,mg/m2,1,over 24 hours every 3 weeks,Doxorubicin/bonus -> paclitaxel
10370782,NA,83,doxorubicin,50,mg/m2,1,bolus dose before paclitaxel during the first two 21-day cycles,Doxorubicin/bonus -> paclitaxel
10501914,NA,89,pnu 152243,940,ug/m2,1,on day 1 to be repeated every 4 weeks,MTD for myelotoxicity
10501914,NA,89,pnu 152243,820,ug/m2,1,on day 1 to be repeated every 4 weeks,MTD for gastrointestinal toxicity
10673526,NA,90,ifosfamide,1500,mg/m2,1,days 1-3 every 3 weeks for four cycles,ITP chemotherapy after AG chemotherapy
10673526,NA,90,paclitaxel,200,mg/m2,1,day 1 every 3 weeks for four cycles,ITP chemotherapy after AG chemotherapy
10673526,NA,90,cisplatin,70,mg/m2,1,day 1 every 3 weeks for four cycles,ITP chemotherapy after AG chemotherapy
10673526,NA,90,cisplatin,70,mg/m2,1,day 1 every 3 weeks for four cycles,ITP chemotherapy after AG chemotherapy
10037175,NA,96,paclitaxel,175,mg/m2,1,24 h after edatrexate every 21 days,fixed
29719113,NCT02171260,102,eribulin,1.4,mg/m2,1,on days 1 and 8 of each 21-day cycle,RP2D
26554651,NCT00410553,105,eribulin mesylate,1,mg/m2,1,on day 1 and 8 for the 21-day schedule,RP2D
26554651,NCT00410553,105,gemcitabine,100,mg/m2,1,on day 1 and 8 for the 21-day schedule,RP2D
25654665,"UMIN-CTR, UMIN 000009716",106,eribulin,1.4,mg/m2,1,on days 1 and 8 every 3 weeks,RP2D
25654665,"UMIN-CTR, UMIN 000009716",106,s-1,65,mg,2,on days 1–14 every 3 weeks,RP2D
34468905,NCT02942095,108,ixazomib,4,mg,1,"on Days 1, 8, and 15 of a 28-day cycle",RP2D
34468905,NCT02942095,108,erlotinib,150,mg,1,on Days 1 - 28 of a 29 day cycle,RP2D
34468905,NCT02942095,108,erlotinib,150,mg,1,on Days 1 - 28 of a 29 day cycle,RP2D
25242374,NCT01432886,119,eribulin mesylate,1.4,mg/m2,1,on days 1 and 8 of every 3 week cycle,Recommended dose
30679780,NA,120,eribulin-lf,1.4,mg/m2,1,on day 1 every 21 days,schedule 1
30679780,NA,120,eribulin-lf,1.5,mg/m2,1,on days 1 and 15 every 28 days,schedule 2
6590530,NA,124,4-demethoxydaunorubicin,15-18,mg,1,every 3 weeks,intravenous (i.v.) route
6590530,NA,124,4-demethoxydaunorubicin,60,mg/m2,1,every 3 weeks,oral route
15886476,NA,129,cisplatin,25,mg/m2,1,3 consecutive days every 3 or 4 weeks,RP2D for Schedule A
15886476,NA,129,cisplatin,25,mg/m2,1,3 consecutive days every 3 or 4 weeks,RP2D for Schedule A
15886476,NA,129,topotecan,1,mg/m2,1,at the end of cisplatin infusion daily for 3 days every 3 or 4 weeks,RP2D for Schedule A
15886476,NA,129,topotecan,1,mg/m2,1,at the end of cisplatin infusion daily for 3 days every 3 or 4 weeks,RP2D for Schedule A
15886476,NA,129,cisplatin,20,mg/m2,1,3 consecutive days every 3 or 4 weeks,RP2D for Schedule B
15886476,NA,129,cisplatin,20,mg/m2,1,3 consecutive days every 3 or 4 weeks,RP2D for Schedule B
15886476,NA,129,topotecan,1.1,mg/m2,1,at the end of cisplatin infusion daily for 3 days every 3 or 4 weeks,RP2D for Schedule B
15886476,NA,129,topotecan,1.1,mg/m2,1,at the end of cisplatin infusion daily for 3 days every 3 or 4 weeks,RP2D for Schedule B
34036220,NCT01911507,131,capmatinib,400,mg,2,daily of a 28-day cycle,(tablet) RP2D
34036220,NCT01911507,131,erlotinib,150,mg,1,daily of a 28-day cycle,RP2D
34036220,NCT01911507,131,erlotinib,150,mg,1,daily of a 28-day cycle,RP2D
32548867,NCT02642913,133,enzalutamide,160,mg,1,Daily for 28-day cycles,RP2D
32548867,NCT02642913,134,enzalutamide,160,mg,1,Daily for 28-day cycles,RP2D
32548867,NCT02642913,134,sorafenib,400,mg,1 or 2,Daily for 28-day cycles,RP2D
31822498,NCT02457910,135,enzalutamide,160,mg,1,on days 9-28 of course 1 and days 1-28 of subsequent courses every 28 days,MTD not reached
29980894,NCT00858377,139,amg 900,40,mg,1,4 days on/10 days off,with G-CSF support
12544260,NA,145,paclitaxel,40,mg/m2,1,on days 3 and 10 every 3 weeks,RPTD
12544260,NA,145,estramustine phosphate,300,mg/m2,3,on days 1–3 and 8–10 every 3 weeks,RPTD
12544260,NA,145,vinorelbine,20,mg/m2,1,on days 3 and 10 every 3 weeks,RPTD
20965266,NA,150,etoposide,60,mg/kg,1,on day -8,MTD not reached
20965266,NA,150,cyclophosphamide,100,mg/kg,1,on day -6,MTD not reached
24368401,NCT00466466,153,everolimus,2.5,mg,1,daily starting on day 2 of cycle 1,RP2D with G-CSF
24368401,NCT00466466,153,everolimus,2.5,mg,1,daily starting on day 2 of cycle 1,RP2D with G-CSF
24368401,NCT00466466,153,cisplatin,75,mg/m2,1,on days 1 and 1–3 every 21 days,RP2D with G-CSF
24368401,NCT00466466,153,cisplatin,75,mg/m2,1,on days 1 and 1–3 every 21 days,RP2D with G-CSF
24368401,NCT00466466,153,etoposide,100,mg/m2,1,on days 1 and 1–3 every 21 days,RP2D with G-CSF
20922800,NCT00569114,154,apricoxib,400,mg,1,daily,RP2D
20922800,NCT00569114,154,erlotinib,150,mg,1,on day 8 of cycle 1. Each cycle was 28 days.,fixed
20922800,NCT00569114,154,erlotinib,150,mg,1,on day 8 of cycle 1. Each cycle was 28 days.,fixed
33230647,"UMIN-CTR (ID, 000015373)",155,clofarabine,30,mg/m2,1,5 consecutive days,RP2D
33230647,"UMIN-CTR (ID, 000015373)",155,etoposide,100,mg/m2,1,5 consecutive days,RP2D
33230647,"UMIN-CTR (ID, 000015373)",155,cyclophosphamide,440,mg/m2,1,5 consecutive days,RP2D
18794549,NA,161,erlotinib,85,mg/m2,1,daily of each 28-day course,tablet
18794549,NA,161,erlotinib,85,mg/m2,1,daily of each 28-day course,tablet
34543383,NCT02306291,163,mitoxantrone,10,mg/m2,1,5 days for 1 induction cycle,RP2D
34543383,NCT02306291,163,etoposide,100,mg/m2,1,5 days for 1 induction cycle,RP2D
34543383,NCT02306291,163,cytarabine,1000,mg/m2,1,5 days for 1 induction cycle,RP2D
34543383,NCT02306291,163,uproleselan,10,mg/kg,2,8 days for 1 induction cycle,RP2D
17634483,NA,166,erlotinib,150,mg,1,daily,RP2D in renal dysfunction patients
17634483,NA,166,erlotinib,150,mg,1,daily,RP2D in renal dysfunction patients
17634483,NA,166,erlotinib,75,mg,1,daily,RP2D in Patients with hepatic dysfunction
17634483,NA,166,erlotinib,75,mg,1,daily,RP2D in Patients with hepatic dysfunction
10694563,NA,191,paclitaxel,170,mg/m2,1,on day 1 every 21 days for cycles 3 and 4,fixed
10694563,NA,191,cisplatin,60,mg/m2,1,on day 2 every 21 days for all cycles,fixed
10694563,NA,191,cisplatin,60,mg/m2,1,on day 2 every 21 days for all cycles,fixed
10694563,NA,191,etoposide,60,mg/m2,1,"On days 1, 2, and 3 for cycles 1 and 2",fixed
10694563,NA,191,etoposide,80,mg/m2,1,"On days 1, 2, and 3 for cycles 3 and 4",fixed
10694563,NA,191,chest radiation,9,Gy/wk,1,in five fractions for 5 weeks beginning on day 1 of cycle 1,fixed
9400949,NA,195,topotecan,1,mg/m2,1,on days 1-5 every 4 weeks,RP2D
9400949,NA,195,topotecan,1,mg/m2,1,on days 1-5 every 4 weeks,RP2D
9400949,NA,195,etoposide,40,mg,2,on days 6-12 every 4 weeks,RP2D
7799021,NA,196,etoposide phosphate,220,mg/m2,1,daily for 5 consecutive days every 3 weeks,for previously untreated good-risk patients
7799021,NA,196,etoposide phosphate,175,mg/m2,1,daily for 5 consecutive days every 3 weeks,for previously treated poor-risk patients.
9537196,NA,203,etoposide,100,mg/m2,1,"on days 1, 2, and 3 every 21 days",With filgrastim
9537196,NA,203,paclitaxel,250,mg/m2,1,on day 4 every 21 days,With filgrastim
14596703,NA,205,irinotecan,100,mg/m2,1,"on day 1 of weeks 1, 3, 7, 9, and 11",RP2D
10086724,NA,208,topotecan,1.5,mg/m2,1,continuous infusion on days 1–5 (120 h infusion total) every 28 days,RP2D
